Image Path,Asymmetry Score,Area,Perimeter,Circularity,Number of Colors,Sick
DermMel\train_sep\NotMelanoma\ISIC_0031441.jpg,12847410,94104,10230,0.011299694,2,0
DermMel\train_sep\Melanoma\ISIC_0033911.jpg,10259415,104107,6495,0.031012122,4,1
DermMel\train_sep\Melanoma\AUGmented_0_5578.jpeg,2629305,16191,2540,0.03153669,3,1
DermMel\train_sep\Melanoma\AUG_0_9574.jpeg,781320,11002,542,0.470633602,4,1
DermMel\train_sep\NotMelanoma\ISIC_0026246.jpg,9896805,78741,5685,0.030616099,2,0
DermMel\train_sep\NotMelanoma\ISIC_0024577.jpg,1904850,18550,987,0.239287203,2,0
DermMel\train_sep\NotMelanoma\ISIC_0025176.jpg,13279890,67728,11017,0.007012154,2,0
DermMel\train_sep\Melanoma\AUG_0_7274.jpeg,2091765,16801,2355,0.038068273,2,1
DermMel\train_sep\NotMelanoma\ISIC_0032010.jpg,3951735,15649,652,0.46259535,3,0
DermMel\train_sep\Melanoma\ISIC_0032823.jpg,6523920,131706,3238,0.157856233,3,1
DermMel\train_sep\Melanoma\AUGmented_0_325.jpeg,1074825,10361,628,0.330135518,4,1
DermMel\train_sep\Melanoma\AUG_0_9549.jpeg,3275475,21169,2932,0.030944415,3,1
DermMel\train_sep\NotMelanoma\ISIC_0031413.jpg,7925145,61619,6488,0.018395129,2,0
DermMel\train_sep\Melanoma\ISIC_0033073.jpg,5696700,52296,4476,0.032801838,3,1
DermMel\train_sep\Melanoma\AUG_0_7002.jpeg,2065755,9453,1176,0.085894406,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025662.jpg,1001640,18846,936,0.270319486,5,0
DermMel\train_sep\Melanoma\AUG_0_7910.jpeg,1566465,10709,1277,0.082523376,2,1
DermMel\train_sep\Melanoma\AUGmented_0_1181.jpeg,1863540,12914,2290,0.030945655,3,1
DermMel\train_sep\Melanoma\ISIC_0034287.jpg,1922445,58643,2236,0.147394896,3,1
DermMel\train_sep\Melanoma\AUGmented_0_8485.jpeg,2082585,15949,1604,0.077899486,2,1
DermMel\train_sep\NotMelanoma\ISIC_0031776.jpg,15002925,116421,15591,0.006018569,2,0
DermMel\train_sep\NotMelanoma\ISIC_0034135.jpg,4477035,62663,4141,0.045920921,4,0
DermMel\train_sep\NotMelanoma\ISIC_0033892.jpg,5460825,57531,2707,0.098658674,4,0
DermMel\train_sep\NotMelanoma\ISIC_0026399.jpg,4373505,49367,2519,0.097766544,2,0
DermMel\train_sep\NotMelanoma\ISIC_0030181.jpg,15044745,101689,11006,0.010549329,6,0
DermMel\train_sep\Melanoma\AUGmented_0_85.jpeg,2960550,19546,2122,0.05454777,3,1
DermMel\train_sep\Melanoma\AUGmented_0_9379.jpeg,800445,10993,700,0.281922678,3,1
DermMel\train_sep\NotMelanoma\ISIC_0024738.jpg,7787445,30545,1006,0.379274838,2,0
DermMel\train_sep\NotMelanoma\ISIC_0025809.jpg,8302035,87133,8744,0.014320963,3,0
DermMel\train_sep\Melanoma\AUG_0_5149.jpeg,2163420,14232,1382,0.093639635,3,1
DermMel\train_sep\Melanoma\AUG_0_7882.jpeg,1411680,12068,1130,0.118764947,5,1
DermMel\train_sep\Melanoma\AUGmented_0_1870.jpeg,1834980,10702,1623,0.05105494,2,1
DermMel\train_sep\NotMelanoma\ISIC_0032507.jpg,4991625,72053,1915,0.246901868,3,0
DermMel\train_sep\NotMelanoma\ISIC_0025989.jpg,4475760,58972,3219,0.071517738,3,0
DermMel\train_sep\NotMelanoma\ISIC_0031713.jpg,885870,18866,1120,0.188996451,5,0
DermMel\train_sep\NotMelanoma\ISIC_0030062.jpg,4041495,82371,3360,0.091686553,2,0
DermMel\train_sep\NotMelanoma\ISIC_0026208.jpg,1691160,37722,1347,0.261257871,2,0
DermMel\train_sep\NotMelanoma\ISIC_0029845.jpg,869550,14664,908,0.223506737,4,0
DermMel\train_sep\NotMelanoma\ISIC_0032168.jpg,8389245,150727,4201,0.10732368,4,0
DermMel\train_sep\NotMelanoma\ISIC_0031308.jpg,15147510,113472,16348,0.005335429,7,0
DermMel\train_sep\Melanoma\AUG_0_6946.jpeg,2170050,12156,1320,0.08767034,4,1
DermMel\train_sep\Melanoma\AUG_0_6097.jpeg,2409240,21958,1784,0.086698772,3,1
DermMel\train_sep\Melanoma\AUG_0_9651.jpeg,2504610,15894,1646,0.073719675,5,1
DermMel\train_sep\Melanoma\AUGmented_0_1623.jpeg,2054280,16724,2009,0.052070308,2,1
DermMel\train_sep\Melanoma\AUG_0_7788.jpeg,834870,18754,1289,0.141839745,2,1
DermMel\train_sep\Melanoma\AUG_0_4346.jpeg,1472370,14648,1562,0.075444248,3,1
DermMel\train_sep\Melanoma\ISIC_0029397.jpg,6940335,54933,2718,0.093442463,3,1
DermMel\train_sep\NotMelanoma\ISIC_0031552.jpg,14021685,103245,10006,0.012958594,4,0
DermMel\train_sep\Melanoma\AUG_0_6604.jpeg,715530,6288,509,0.304990865,4,1
DermMel\train_sep\NotMelanoma\ISIC_0025636.jpg,5194860,90660,2897,0.135746484,3,0
DermMel\train_sep\NotMelanoma\ISIC_0026143.jpg,9359265,67179,6953,0.017462199,2,0
DermMel\train_sep\NotMelanoma\ISIC_0032074.jpg,894030,24262,680,0.659353988,7,0
DermMel\train_sep\Melanoma\ISIC_0029591.jpg,14718345,109995,11447,0.010548712,10,1
DermMel\train_sep\NotMelanoma\ISIC_0025559.jpg,9799395,77973,8818,0.012601258,3,0
DermMel\train_sep\NotMelanoma\ISIC_0032560.jpg,2945760,52996,2441,0.111767979,4,0
DermMel\train_sep\Melanoma\AUG_0_7854.jpeg,2100690,13294,1391,0.086339848,2,1
DermMel\train_sep\Melanoma\AUG_0_5114.jpeg,1812285,12207,1380,0.08054909,4,1
DermMel\train_sep\NotMelanoma\ISIC_0031541.jpg,312120,5596,297,0.797213549,3,0
DermMel\train_sep\NotMelanoma\ISIC_0034147.jpg,10246410,120970,11279,0.011949407,3,0
DermMel\train_sep\NotMelanoma\ISIC_0030186.jpg,3977745,44295,1775,0.176672053,2,0
DermMel\train_sep\NotMelanoma\ISIC_0025212.jpg,10058730,115830,11069,0.011879937,3,0
DermMel\train_sep\Melanoma\ISIC_0029473.jpg,11773605,90883,8498,0.015814631,6,1
DermMel\train_sep\Melanoma\AUGmented_0_6394.jpeg,209610,4362,350,0.447465376,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025057.jpg,4048380,42890,2327,0.099534386,2,0
DermMel\train_sep\Melanoma\AUG_0_5292.jpeg,525300,8346,500,0.419515717,2,1
DermMel\train_sep\NotMelanoma\ISIC_0026368.jpg,2592840,18706,791,0.375697086,2,0
DermMel\train_sep\NotMelanoma\ISIC_0025994.jpg,2494920,34532,1659,0.157666281,3,0
DermMel\train_sep\Melanoma\AUG_0_4611.jpeg,1844160,8998,1287,0.068265104,4,1
DermMel\train_sep\NotMelanoma\ISIC_0029482.jpg,8308665,66957,3538,0.067218713,4,0
DermMel\train_sep\Melanoma\AUGmented_0_1126.jpeg,2403630,14468,1576,0.073199133,2,1
